Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Yeast_PS.raw (F1),JAS_Blank_Neg.raw (F2),JAS_Blank_Pos.raw (F3),Yeast_Neg_1.raw (F4)+Yeast_Pos_1.raw (F7),Yeast_Neg_2.raw (F5)+Yeast_Pos_2.raw (F8),Yeast_Neg_3.raw (F6)+Yeast_Pos_3.raw (F9),
1.181,434.26584,+,196973.3325,,,4,196973.3325,0.0,639.4700407,137018.1038,138210.5187,128928.3021,
1.181,538.31366,-,129718.577,,,4,129718.577,193.1787751,0.0,91784.98761,118325.7831,88901.17663,
1.181,470.19684,+,26076.22966,,,3,9100.825415,0.0,80.71638764,20818.9575,26076.22966,19045.81691,
1.182,943.57703,-,194504.2977,,,8,194504.2977,112.6525234,230.169617,83231.17967,85832.1444,102870.2485,
1.184,710.31836,-,63031.82433,,,4,63031.82433,188.3665727,0.0,55178.01885,55464.05238,56883.79121,
1.184,629.43378,+,54266.1266,,,4,54266.1266,0.0,153.0897632,40424.5462,44015.32741,38130.83267,
1.185,592.29144,+,426306.4824,,,4,426306.4824,0.0,364.1564348,319077.0938,275906.0996,268695.7451,
1.186,457.23184,+,18072.5124,,,3,7091.521285,0.0,99.80983057,18072.5124,15982.26596,13851.44093,
1.191,271.22708,-,86858.44224,,,5,65477.02094,11608.71344,0.0,67481.01074,70981.61315,86858.44224,
1.195,478.29242,-,1581822.329,LysoPE 20:4,LysoPE,15,1581822.329,172.2622205,568.5246287,1440864.873,1484812.52,1347082.478,
1.195,383.22174,-,33829.08586,,,4,20999.50321,197.2470199,0.0,30508.99899,26541.47478,33829.08586,
1.199,526.29218,+,187350.7928,,,6,187350.7928,173.7524095,350.1656064,79506.26765,85352.1406,83188.47888,
1.199,354.12143,-,26039.17173,,,3,26039.17173,2719.154036,0.0,14151.23488,18848.81299,17277.84615,
1.201,789.37964,+,186581.7316,,,4,186581.7316,0.0,165.850884,170402.3567,167364.9966,144038.3164,
1.202,809.34808,+,60537.60103,,,4,57170.69456,0.0,108.5004471,60202.2587,60537.60103,58262.59573,
1.214,483.27139,-,19359.6163,LysoPG 16:0,LysoPG,3,11588.49899,934.9993611,0.0,19359.6163,18467.96434,17027.83,
1.216,679.52271,+,27000.70578,,,4,27000.70578,0.0,112.5224879,21681.19976,22725.38317,25843.07299,
1.218,466.29239,+,132951.1876,LysoPE 17:1,LysoPE,7,132951.1876,193.596213,264.5979656,61688.9009,60623.13406,59239.40467,
1.227,455.33636,+,15564.79738,,,3,11385.95965,0.0,3679.499123,9922.886521,13538.29711,15564.79738,
1.232,713.35107,-,16102.62539,,,3,14984.10122,4997.53479,0.0,13027.73426,15736.83627,16102.62539,
1.233,584.44879,+,14205.45752,,,3,14205.45752,0.0,106.6852723,11219.06082,12998.3162,13224.51837,
1.234,563.26404,+,91895.53311,,,4,91895.53311,0.0,15391.97379,21960.80369,19471.61774,17812.83576,
1.24,544.33685,+,55044.99862,LysoPC 20:4,LysoPC,4,55044.99862,0.0,238.1102652,35074.73514,53891.30453,38293.99983,
1.274,670.34399,+,52836.38692,,,3,52836.38692,0.0,150.0205231,19883.70036,17511.42142,21342.22782,
1.285,664.41974,+,24944.50724,,,4,23634.48923,0.0,2970.563011,19394.73696,24944.50724,20716.17468,
1.291,339.19919,-,412212.6514,,,5,191674.3317,55271.7573,0.0,372896.4494,412212.6514,385918.0942,
1.293,449.14908,+,245111.8806,,,5,245111.8806,0.0,43480.3138,124474.3407,79110.16599,103855.657,
1.312,482.3251,+,20164.80811,,,4,20164.80811,0.0,1199.60667,17650.5549,17664.4618,16089.06048,
1.319,409.2355,-,71136.72768,,,4,71136.72768,307.516119,0.0,66166.94049,70274.696,68088.95324,
1.322,515.31226,+,141670.4819,,,2,141670.4819,0.0,132.9812842,16796.57438,14501.72069,11504.72029,
1.331,661.51276,+,157674.8371,,,4,150564.8882,0.0,221.4382806,153174.4139,157674.8371,145950.6363,
1.334,693.53851,+,27865.56879,,,4,26462.74753,0.0,112.3093088,27865.56879,23483.11428,20637.04113,
1.339,528.30939,+,110743.959,LysoPE 22:5,LysoPE,5,110743.959,214.4360872,167.2046547,23906.97916,47293.15519,46874.7355,
1.357,395.22198,-,23687.65253,,,4,16792.31436,111.4244052,0.0,22395.83793,23687.65253,22336.77902,
1.396,562.39557,+,46007.83224,,,4,46007.83224,0.0,11786.65019,28334.90875,30970.67143,30693.54,
1.399,582.37726,+,39533.22185,,,3,39533.22185,0.0,643.6200658,35334.89576,37035.81558,30194.94666,
1.43,508.33957,+,111417.5631,LysoPC 17:1,LysoPC,4,111417.5631,0.0,175.6888023,68031.31608,84061.22499,94065.70618,
1.442,423.2514,-,10184.04756,,,4,9929.248605,101.2857074,0.0,9817.198962,9474.208839,10184.04756,
